"compositeSampleID","siteID","sampleID","plotID","biomassID","geneticSampleID","biome","nlcdClass","horizon","sampleBottomDepth","sampleTopDepth","litterDepth","standingWaterDepth","soilTemp","sampleTiming","domainID","decimalLatitude","decimalLongitude","proportion_fungi","proportion_bacteria","gram_positive","gram_negative","total_fungi","total_bacteria","proportion_sap_ecto_fungi","proportion_arbuscular_fungi","bacteria_fungi_total","total_biomass","db_name","Bacteria","Eukaryota","Archaea","fungi_domain_metagenome","sample_id","genus_amf_metagenome","genus_fungi_metagenome","genus_fungi_minus_amf_metagenome","phyla_fungi_metagenome","seq_depth"
NA,"BART","BART_023-O-21-20220426","BART_023","BART_023-O-21-20220426-BM","BART_023-O-21-20220426-GEN","Forest","evergreenForest","O",2,0,1.1,0,4.5,"winterSpringTransition","D01",44.049319,-71.263643,0.576380297132281,0.423619702867719,209.38,211.77,573.02,421.15,0.152418600440569,0.0455857650100083,994.17,1367.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_023-M-21-20220426","BART_023","BART_023-M-21-20220426-BM",NA,"Forest","evergreenForest","M",17.5,2,1.1,0,4.5,"winterSpringTransition","D01",44.049319,-71.263643,0.360766916526439,0.639233083473561,53.68,71.68,70.75,125.36,0.1171791341594,0.044923767273469,196.11,260.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_023-M-23-20220426","BART_023","BART_023-M-23-20220426-BM",NA,"Forest","evergreenForest","M",19,2,1.4,0,4.6,"winterSpringTransition","D01",44.049319,-71.263643,0.455518235962492,0.544481764037508,180.56,255.51,364.82,436.07,0.145175991709223,0.0514927143552798,800.89,998.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_023-O-23-20220426","BART_023","BART_023-O-23-20220426-BM","BART_023-O-23-20220426-GEN","Forest","evergreenForest","O",2,0,1.4,0,4.6,"winterSpringTransition","D01",44.049319,-71.263643,0.552313528296061,0.447686471703939,189.66,216.32,500.86,405.98,0.142053725023157,0.0442746239689471,906.84,1248.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_002-O-39-20220426","BART_002","BART_002-O-39-20220426-BM","BART_002-O-39-20220426-GEN","Forest","deciduousForest","O",2.1,0,8.9,0,5.3,"winterSpringTransition","D01",44.035076,-71.272844,0.584499992950697,0.415500007049303,248.06,341.36,829.16,589.42,0.154076611823091,0.0481890341045271,1418.58,1803.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_002-M-39-20220426","BART_002","BART_002-M-39-20220426-BM",NA,"Forest","deciduousForest","M",11,2.1,8.9,0,5.3,"winterSpringTransition","D01",44.035076,-71.272844,0.436208938204465,0.563791061795535,45.17,83.38,99.46,128.55,0.153633612560853,0.0514889697820271,228.01,322.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_023-M-41-20220426","BART_023","BART_023-M-41-20220426-BM",NA,"Forest","evergreenForest","M",18,2.6,3.1,0,4.8,"winterSpringTransition","D01",44.049319,-71.263643,0.481234734822052,0.518765265177948,208.89,266.88,441.35,475.77,0.157820132588974,0.041412247034194,917.12,1148.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_023-O-41-20220426","BART_023","BART_023-O-41-20220426-BM","BART_023-O-41-20220426-GEN","Forest","evergreenForest","O",2.6,0,3.1,0,4.8,"winterSpringTransition","D01",44.049319,-71.263643,0.521335271993175,0.478664728006825,186.1,212.24,433.85,398.34,0.147322125956813,0.0521275189560076,832.19,1034.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_002-M-21-20220426","BART_002","BART_002-M-21-20220426-BM",NA,"Forest","deciduousForest","M",11.7,4,7.3,0,4.8,"winterSpringTransition","D01",44.035076,-71.272844,0.556805104080438,0.443194895919562,102.33,117.18,275.78,219.51,0.173797169335137,0.0288315936118234,495.29,627.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_002-O-21-20220426","BART_002","BART_002-O-21-20220426-BM","BART_002-O-21-20220426-GEN","Forest","deciduousForest","O",4,0,7.3,0,4.8,"winterSpringTransition","D01",44.035076,-71.272844,0.555683351735983,0.444316648264017,290.13,289.33,724.7,579.46,0.137912526070421,0.0368359710464974,1304.16,1708.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
