sampleID,db_name,seq_depth,reads_classified,pct_classified,taxonomic_rank,taxon_group
JERC_001-M-20140910-COMP,soil_microbe_db,5997490,573638,9.564634538782057,phylum,all_domain
JERC_001-M-20160726-COMP,soil_microbe_db,9513663,1123783,11.812306153791658,phylum,all_domain
JERC_001-M-20170725-COMP,soil_microbe_db,7817381,1146964,14.671972621009516,phylum,all_domain
JERC_001-M-20190729-COMP,soil_microbe_db,7150900,1124903,15.730928973975303,phylum,all_domain
JERC_002-M-20140910-COMP,soil_microbe_db,8839110,865479,9.791472218356825,phylum,all_domain
JERC_002-M-20160726-COMP,soil_microbe_db,8669746,1119417,12.911762351515257,phylum,all_domain
JERC_002-M-20170725-COMP,soil_microbe_db,10010135,1423757,14.223154832577183,phylum,all_domain
JERC_002-M-20190730-COMP,soil_microbe_db,6461104,999638,15.471628378060467,phylum,all_domain
JERC_003-M-20160726-COMP,soil_microbe_db,4892956,632671,12.930240942285195,phylum,all_domain
JERC_003-M-20170726-COMP,soil_microbe_db,5969767,901160,15.095396520500717,phylum,all_domain
JERC_003-M-20190729-COMP,soil_microbe_db,6534439,1106193,16.928660593510784,phylum,all_domain
JERC_004-M-20160726-COMP,soil_microbe_db,6110338,744619,12.186216212589223,phylum,all_domain
JERC_004-M-20190730-COMP,soil_microbe_db,4434755,512323,11.552453292233732,phylum,all_domain
JERC_005-M-20160726-COMP,soil_microbe_db,6760725,783639,11.591049776466281,phylum,all_domain
JERC_005-M-20170725-COMP,soil_microbe_db,6578306,1138119,17.301095449193152,phylum,all_domain
JERC_005-M-20190729-COMP,soil_microbe_db,3159689,514335,16.278026096872193,phylum,all_domain
JERC_006-M-20140910-COMP,soil_microbe_db,6982238,658053,9.424671573784794,phylum,all_domain
JERC_006-M-20160726-COMP,soil_microbe_db,4127782,798274,19.339054242690143,phylum,all_domain
JERC_006-M-20170724-COMP,soil_microbe_db,7151340,1122918,15.702204062455428,phylum,all_domain
JERC_006-M-20190729-COMP,soil_microbe_db,4289262,692008,16.13349802366934,phylum,all_domain
JERC_047-M-20160727-COMP,soil_microbe_db,2973534,572501,19.253218560810133,phylum,all_domain
JERC_047-M-20170725-COMP,soil_microbe_db,3627540,550771,15.183044156646103,phylum,all_domain
JERC_047-M-20190730-COMP,soil_microbe_db,4127020,645340,15.636948694215198,phylum,all_domain
JERC_048-M-20160727-COMP,soil_microbe_db,1900683,253345,13.329155887646705,phylum,all_domain
JERC_048-M-20170725-COMP,soil_microbe_db,2307917,322328,13.966186825609414,phylum,all_domain
JERC_048-M-20190730-COMP,soil_microbe_db,6744046,1059220,15.706002005324402,phylum,all_domain
JERC_049-M-20160727-COMP,soil_microbe_db,6514738,769350,11.809377445416839,phylum,all_domain
JERC_049-M-20170725-COMP,soil_microbe_db,5801009,892057,15.377617928191459,phylum,all_domain
JERC_049-M-20190730-COMP,soil_microbe_db,5148924,821558,15.9559162263805,phylum,all_domain
JERC_050-M-20160727-COMP,soil_microbe_db,9570424,1079924,11.28397237154801,phylum,all_domain
JERC_050-M-20170725-COMP,soil_microbe_db,6072281,914683,15.063252178217706,phylum,all_domain
JERC_050-M-20190730-COMP,soil_microbe_db,5694765,1002678,17.607012756452637,phylum,all_domain
JORN_001-M-20170808-COMP,soil_microbe_db,2140092,365699,17.088003693299168,phylum,all_domain
JORN_002-M-20170808-COMP,soil_microbe_db,3698236,651853,17.626051988028888,phylum,all_domain
JORN_003-M-20170808-COMP,soil_microbe_db,1191930,206079,17.289522035690016,phylum,all_domain
JORN_004-M-20170808-COMP,soil_microbe_db,4496598,735240,16.351028043867828,phylum,all_domain
JORN_005-M-20170808-COMP,soil_microbe_db,3034348,571713,18.84137877395737,phylum,all_domain
JORN_006-M-20170808-COMP,soil_microbe_db,3400661,562046,16.527551555418196,phylum,all_domain
JORN_042-M-20170808-COMP,soil_microbe_db,1928213,379224,19.667121837680796,phylum,all_domain
JORN_045-M-20170808-COMP,soil_microbe_db,4680264,851989,18.203866277628784,phylum,all_domain
JORN_047-M-20170808-COMP,soil_microbe_db,4457537,704116,15.796077519939825,phylum,all_domain
KONA_001-M-20170807-COMP,soil_microbe_db,1191032,199067,16.71382464954762,phylum,all_domain
KONA_001-M-20190619-COMP,soil_microbe_db,462144,86575,18.733338526519873,phylum,all_domain
KONA_002-M-20170808-COMP,soil_microbe_db,251988,38404,15.240408273409844,phylum,all_domain
KONA_002-M-20190617-COMP,soil_microbe_db,2221473,390398,17.57383501847648,phylum,all_domain
KONA_003-M-20170807-COMP,soil_microbe_db,1275927,217822,17.07166632573807,phylum,all_domain
