taxon,trophicMode,guild,confidenceRanking,functional_group,name
Cantharellus,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,cantharellus
Schizopora,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph|,Highly Probable,Pathogen,schizopora
Neolentinus,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,neolentinus
Gloeophyllum,Saprotroph,|Wood Saprotroph|,Highly Probable,Other saprotroph,gloeophyllum
Punctularia,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Probable,Pathogen,punctularia
Ramaria,Saprotroph-Symbiotroph,|Ectomycorrhizal|-Plant Saprotroph,Possible,Ectomycorrhizae,ramaria
Naganishia,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,naganishia
Mrakia,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,mrakia
Dacryopinax,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,dacryopinax
Leucosporidium,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,leucosporidium
Kalmanozyma,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,kalmanozyma
Testicularia,Pathotroph,|Plant Pathogen|,Probable,Pathogen,testicularia
Tilletiaria,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph|,Probable,Pathogen,tilletiaria
Pilaira,Saprotroph,Dung Saprotroph-|Undefined Saprotroph|,Highly Probable,Other saprotroph,pilaira
Cokeromyces,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,cokeromyces
Helicostylum,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,helicostylum
Benjaminiella,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,benjaminiella
Parasitella,Pathotroph-Saprotroph,|Fungal Parasite|-Undefined Saprotroph,Probable,Other saprotroph,parasitella
Choanephora,Pathotroph-Saprotroph,Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph,Probable,Pathogen,choanephora
Blakeslea,Pathotroph-Saprotroph,Plant Pathogen-|Undefined Saprotroph|,Probable,Pathogen,blakeslea
Gilbertella,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph,Probable,Pathogen,gilbertella
Rhizopus,Pathotroph-Saprotroph,Plant Pathogen-|Undefined Saprotroph|,Probable,Pathogen,rhizopus
Sporodiniella,Pathotroph-Saprotroph,Arthropod Parasite-|Undefined Saprotroph|,Probable,Other saprotroph,sporodiniella
Backusella,Saprotroph,Dung Saprotroph-|Undefined Saprotroph|,Probable,Other saprotroph,backusella
Pilobolus,Saprotroph,|Dung Saprotroph|,Highly Probable,Other saprotroph,pilobolus
Mycotypha,Saprotroph,Dung Saprotroph-|Undefined Saprotroph|,Probable,Other saprotroph,mycotypha
Dichotomocladium,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,dichotomocladium
Fennellomyces,Saprotroph,Dung Saprotroph-|Undefined Saprotroph|,Probable,Other saprotroph,fennellomyces
Phycomyces,Saprotroph,|Dung Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,phycomyces
Saksenaea,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,saksenaea
Syncephalastrum,Pathotroph-Saprotroph,Animal Parasite-|Undefined Saprotroph|,Probable,Other saprotroph,syncephalastrum
Radiomyces,Saprotroph,Dung Saprotroph-|Undefined Saprotroph|,Probable,Other saprotroph,radiomyces
Chytridium,Pathotroph-Symbiotroph,|Algal Parasite|-Algal Symbiotroph-Plant Pathogen,Probable,Pathogen,chytridium
Obelidium,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph,Probable,Pathogen,obelidium
Rhizoclosmatium,Pathotroph-Saprotroph,Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph,Probable,Pathogen,rhizoclosmatium
Geranomyces,Saprotroph,|Pollen Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,geranomyces
Fimicolochytrium,Pathotroph-Saprotroph,Algal Parasite-Plant Pathogen-|Pollen Saprotroph|,Probable,Pathogen,fimicolochytrium
Powellomyces,Pathotroph-Saprotroph,Algal Parasite-Plant Pathogen-|Pollen Saprotroph|,Probable,Pathogen,powellomyces
Homolaphlyctis,Saprotroph,|Plant Saprotroph|,Probable,Other saprotroph,homolaphlyctis
Conidiobolus,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,conidiobolus
Neoconidiobolus,Pathotroph-Saprotroph,|Animal Parasite|-Undefined Saprotroph,Probable,Other saprotroph,neoconidiobolus
Basidiobolus,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Animal Symbiotroph-|Undefined Saprotroph|,Probable,Pathogen,basidiobolus
Zancudomyces,Symbiotroph,|Animal Symbiotroph|,Probable,NA,zancudomyces
Kickxella,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,kickxella
Ramicandelaber,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,ramicandelaber
Piptocephalis,Pathotroph,|Fungal Parasite|,Probable,NA,piptocephalis
Thamnocephalis,Pathotroph,Animal Pathogen-|Fungal Parasite|,Probable,Pathogen,thamnocephalis
Vairimorpha,Pathotroph,|Animal Parasite|,Probable,NA,vairimorpha
Blastocladiella,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,blastocladiella
Catenaria,Pathotroph-Saprotroph,|Animal Parasite|-Undefined Saprotroph,Probable,Other saprotroph,catenaria
Parauncinula,Pathotroph,|Plant Pathogen|,Probable,Pathogen,parauncinula
Claviceps,Pathotroph,|Plant Pathogen|,Probable,Pathogen,claviceps
Phaeoacremonium,Pathotroph,|Plant Pathogen|,Probable,Pathogen,phaeoacremonium
Macroventuria,Saprotroph,|Plant Saprotroph|,Probable,Other saprotroph,macroventuria
Delitschia,Saprotroph-Symbiotroph,Dung Saprotroph-Endophyte-|Plant Saprotroph|-Undefined Saprotroph,Probable,Endophyte,delitschia
Microthyrium,Saprotroph-Symbiotroph,|Epiphyte|-Plant Saprotroph-Undefined Saprotroph,Probable,Other saprotroph,microthyrium
Patellaria, Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,patellaria
Dothistroma,Pathotroph,|Plant Pathogen|,Probable,Pathogen,dothistroma
Fulvia,Pathotroph,|Plant Pathogen|,Probable,Pathogen,fulvia
Acidomyces, Pathotroph-Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-|Undefined Saprotroph|-Unknown Saprotroph-Wood Saprotroph,Possible,Pathogen,acidomyces
Neohortaea,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,neohortaea
Delphinella,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph|,Probable,Pathogen,delphinella
Rachicladosporium,Saprotroph,|Plant Saprotroph|,Probable,Other saprotroph,rachicladosporium
Nannizzia,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,nannizzia
Microsporum,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,microsporum
Phaeomoniella,Pathotroph,|Plant Pathogen|,Highly Probable,Pathogen,phaeomoniella
Trametopsis,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,trametopsis
Abortiporus,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph|,Highly Probable,Pathogen,abortiporus
Artomyces,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,artomyces
Pyrrhoderma,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph|,Probable,Pathogen,pyrrhoderma
Fomitiporia,Pathotroph-Saprotroph,|Plant Pathogen|-Wood Saprotroph,Probable,Pathogen,fomitiporia
Sistotremastrum,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,sistotremastrum
Desarmillaria,Pathotroph-Saprotroph,Bryophyte Parasite-|Plant Pathogen|-Wood Saprotroph,Probable,Pathogen,desarmillaria
Macrolepiota,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,macrolepiota
