taxon,trophicMode,guild,confidenceRanking,functional_group,name
Ceratobasidium,Pathotroph-Saprotroph-Symbiotroph,Ectomycorrhizal-Endomycorrhizal-Orchid Mycorrhizal-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph,Possible,Ectomycorrhizae,ceratobasidium
Hydnum,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,hydnum
Clavulina,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,clavulina
Tulasnella,Saprotroph-Symbiotroph,Ectomycorrhizal-|Plant Saprotroph|-Undefined Saprotroph,Possible,Ectomycorrhizae,tulasnella
Botryobasidium, Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,botryobasidium
Auricularia,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,auricularia
Exidia,Saprotroph-Symbiotroph,Endophyte-Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Probable,Endophyte,exidia
Oliveonia,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,oliveonia
Phellopilus,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,phellopilus
Rickenella,Pathotroph,Bryophyte Parasite-|Plant Pathogen|,Probable,Pathogen,rickenella
Thelephora, Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,thelephora
Serendipita,Saprotroph-Symbiotroph,Ectomycorrhizal-|Endophyte|-Ericoid Mycorrhizal-Orchid Mycorrhizal-Undefined Saprotroph,Highly Probable,Ectomycorrhizae,serendipita
Psilocybe, Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,psilocybe
Pholiota,Pathotroph-Saprotroph,Plant Pathogen-Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Probable,Pathogen,pholiota
Hypholoma,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,hypholoma
Agrocybe,Saprotroph,Dung Saprotroph-|Undefined Saprotroph|,Probable,Other saprotroph,agrocybe
Galerina,Pathotroph-Saprotroph,Bryophyte Parasite-Plant Pathogen-Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Probable,Pathogen,galerina
Flammula,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,flammula
Coprinopsis, Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,coprinopsis
Coprinellus,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,coprinellus
Coprinus,Pathotroph-Saprotroph,|Dung Saprotroph|-Plant Pathogen-Plant Saprotroph,Highly Probable,Pathogen,coprinus
Agaricus, Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,agaricus
Leucoagaricus,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,leucoagaricus
Hebeloma,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,hebeloma
Gymnopilus,Saprotroph,Plant Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,gymnopilus
Phlegmacium,Symbiotroph,Ectomycorrhizal,Probable,Ectomycorrhizae,phlegmacium
Laccaria,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,laccaria
Cyathus,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,cyathus
Panaeolus,Saprotroph,|Dung Saprotroph|,Probable,Other saprotroph,panaeolus
Armillaria,Pathotroph-Saprotroph,Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Probable,Pathogen,armillaria
Hymenopellis,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,hymenopellis
Lentinula,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,lentinula
Gymnopus,Saprotroph,|Plant Saprotroph|,Probable,Other saprotroph,gymnopus
Mycena,Pathotroph-Saprotroph,Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Probable,Pathogen,mycena
Schizophyllum,Saprotroph,Plant Saprotroph-|Wood Saprotroph|,Highly Probable,Other saprotroph,schizophyllum
Auriculariopsis,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,auriculariopsis
Fistulina,Pathotroph-Saprotroph,|Plant Pathogen|-Wood Saprotroph,Highly Probable,Pathogen,fistulina
Tricholoma,Pathotroph-Symbiotroph,|Ectomycorrhizal|-Fungal Parasite,Highly Probable,Ectomycorrhizae,tricholoma
Amanita,Saprotroph-Symbiotroph,|Ectomycorrhizal|-Undefined Saprotroph,Probable,Ectomycorrhizae,amanita
Volvariella,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Highly Probable,Other saprotroph,volvariella
Pluteus,Pathotroph-Saprotroph,Bryophyte Parasite-|Plant Saprotroph|-Wood Saprotroph,Probable,Other saprotroph,pluteus
Pleurotus,Pathotroph-Saprotroph,Endophyte-Nematophagous-Plant Pathogen-|Wood Saprotroph|,Probable,Pathogen,pleurotus
Dendrothele,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,dendrothele
Suillus,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,suillus
Rhizopogon,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,rhizopogon
Imleria,Symbiotroph,|Ectomycorrhizal|,Probable,Ectomycorrhizae,imleria
Boletus,Pathotroph-Symbiotroph,|Ectomycorrhizal|-Fungal Parasite,Highly Probable,Ectomycorrhizae,boletus
Lanmaoa,Symbiotroph,|Ectomycorrhizal|,Probable,Ectomycorrhizae,lanmaoa
Pisolithus,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,pisolithus
Coniophora,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,coniophora
Serpula,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,serpula
Paxillus,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,paxillus
Melanogaster,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,melanogaster
Piloderma,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,piloderma
Fibularhizoctonia,Saprotroph,Undefined Saprotroph,Probable,Other saprotroph,fibularhizoctonia
Gautieria,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,gautieria
Hysterangium,Symbiotroph,|Ectomycorrhizal|,Highly Probable,Ectomycorrhizae,hysterangium
Sphaerobolus,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,sphaerobolus
Solicoccozyma,Saprotroph-Symbiotroph,Epiphyte-|Undefined Saprotroph|,Probable,Other saprotroph,solicoccozyma
Cryptococcus,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Epiphyte-|Undefined Saprotroph|,Possible,Pathogen,cryptococcus
Dioszegia,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,dioszegia
Tremella, Pathotroph,|Fungal Parasite|-Lichen Parasite,Probable,NA,tremella
Trichosporon,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,trichosporon
Cutaneotrichosporon,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Possible,Pathogen,cutaneotrichosporon
Calocera,Saprotroph,|Wood Saprotroph|,Probable,Other saprotroph,calocera
Phakopsora,Pathotroph,|Plant Pathogen|,Probable,Pathogen,phakopsora
Puccinia, Pathotroph,|Plant Pathogen|,Highly Probable,Pathogen,puccinia
Melampsora,Pathotroph,|Plant Pathogen|,Probable,Pathogen,melampsora
Cronartium,Pathotroph,|Plant Pathogen|,Highly Probable,Pathogen,cronartium
Rhodotorula,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Animal Symbiotroph-Endophyte-Plant Pathogen-|Undefined Saprotroph|,Probable,Pathogen,rhodotorula
Microbotryum,Pathotroph,|Plant Pathogen|,Probable,Pathogen,microbotryum
Pseudozyma,Pathotroph-Symbiotroph,Endophyte-|Epiphyte|-Fungal Parasite,Probable,Endophyte,pseudozyma
Ustilago,Pathotroph,|Plant Pathogen|,Probable,Pathogen,ustilago
Moesziomyces,Pathotroph,|Plant Pathogen|,Probable,Pathogen,moesziomyces
Sporisorium,Pathotroph,|Plant Pathogen|,Probable,Pathogen,sporisorium
Violaceomyces,Saprotroph-Symbiotroph,|Epiphyte|-Plant Saprotroph,Probable,Other saprotroph,violaceomyces
Tilletiopsis,Pathotroph-Saprotroph,Endophyte-Fungal Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph,Probable,Pathogen,tilletiopsis
Acaromyces,Pathotroph,|Animal Parasite|-Animal Pathogen-Plant Pathogen,Highly Probable,Pathogen,acaromyces
Jaminaea,Pathotroph-Symbiotroph,|Epiphyte|-Plant Pathogen,Probable,Pathogen,jaminaea
Tilletia,Pathotroph,|Plant Pathogen|,Probable,Pathogen,tilletia
Ceraceosorus,Pathotroph-Symbiotroph,Epiphyte-|Plant Pathogen|,Probable,Pathogen,ceraceosorus
Malassezia,Pathotroph-Saprotroph,Animal Pathogen-|Undefined Saprotroph|,Probable,Pathogen,malassezia
Mortierella,Saprotroph-Symbiotroph,Endophyte-Plant Saprotroph-|Undefined Saprotroph|,Probable,Endophyte,mortierella
Dissophora,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,dissophora
Haplosporangium,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,haplosporangium
Lobosporangium,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,lobosporangium
Modicella,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,modicella
Gamsiella,Saprotroph,Dung Saprotroph-|Undefined Saprotroph|,Probable,Other saprotroph,gamsiella
Rhizophagus,Symbiotroph,|Arbuscular Mycorrhizal|-Endophyte,Highly Probable,Arbuscular mycorrhizae,rhizophagus
Glomus,Symbiotroph,|Arbuscular Mycorrhizal|-Endophyte,Highly Probable,Arbuscular mycorrhizae,glomus
Oehlia,Symbiotroph,|Arbuscular Mycorrhizal|-Endophyte,Probable,Arbuscular mycorrhizae,oehlia
Gigaspora,Symbiotroph,|Arbuscular Mycorrhizal|-Endophyte,Highly Probable,Arbuscular mycorrhizae,gigaspora
Geosiphon,Symbiotroph,Arbuscular Mycorrhizal-Endophyte-|Lichenized|,Highly Probable,Arbuscular mycorrhizae,geosiphon
Mucor, Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,mucor
Cunninghamella,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,cunninghamella
Hesseltinella,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,hesseltinella
Absidia,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,absidia
Halteromyces,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,halteromyces
Chlamydoabsidia,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,chlamydoabsidia
Gongronella,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,gongronella
Circinella,Saprotroph,Dung Saprotroph-|Undefined Saprotroph|,Probable,Other saprotroph,circinella
Phascolomyces, Saprotroph,Dung Saprotroph-|Undefined Saprotroph|,Probable,Other saprotroph,phascolomyces
Lichtheimia,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,lichtheimia
Zychaea,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,zychaea
Spinellus,Pathotroph,|Fungal Parasite|,Highly Probable,NA,spinellus
Jimgerdemannia,Symbiotroph,|Ectomycorrhizal|,Probable,Ectomycorrhizae,jimgerdemannia
Endogone,Saprotroph-Symbiotroph,Ectomycorrhizal-Endophyte-|Undefined Saprotroph|,Probable,Ectomycorrhizae,endogone
Umbelopsis,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,umbelopsis
Neocallimastix,Saprotroph-Symbiotroph,|Animal Symbiotroph|-Plant Saprotroph,Highly Probable,Other saprotroph,neocallimastix
Pecoramyces,Saprotroph-Symbiotroph,|Animal Symbiotroph|-Plant Saprotroph,Probable,Other saprotroph,pecoramyces
Caecomyces,Saprotroph-Symbiotroph,|Animal Symbiotroph|-Plant Saprotroph,Probable,Other saprotroph,caecomyces
Piromyces,Saprotroph-Symbiotroph,|Animal Symbiotroph|-Plant Saprotroph,Probable,Other saprotroph,piromyces
Anaeromyces,Saprotroph-Symbiotroph,|Animal Symbiotroph|-Plant Saprotroph,Probable,Other saprotroph,anaeromyces
Zopfochytrium,Saprotroph,Algal Saprotroph-|Plant Saprotroph|,Probable,Other saprotroph,zopfochytrium
Chytriomyces,Pathotroph-Saprotroph,Algal Parasite-Fungal Parasite-Plant Saprotroph-|Undefined Saprotroph|,Probable,Other saprotroph,chytriomyces
Entophlyctis,Pathotroph-Saprotroph,Algal Parasite-|Plant Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,entophlyctis
Caulochytrium,Pathotroph,|Fungal Parasite|,Probable,NA,caulochytrium
Blyttiomyces,Pathotroph-Saprotroph,|Algal Parasite|-Plant Pathogen-Pollen Saprotroph,Probable,Pathogen,blyttiomyces
Polychytrium,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph,Probable,Pathogen,polychytrium
Hyaloraphidium,Saprotroph,Algal Saprotroph-|Plant Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,hyaloraphidium
Gonapodya,Saprotroph,|Plant Saprotroph|,Probable,Other saprotroph,gonapodya
Smittium,Symbiotroph,|Animal Symbiotroph|,Probable,NA,smittium
Coemansia,Saprotroph,Dung Saprotroph-|Undefined Saprotroph|,Probable,Other saprotroph,coemansia
Linderina,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,linderina
Martensiomyces,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,martensiomyces
Dimargaris,Pathotroph-Saprotroph,Dung Saprotroph-|Fungal Parasite|,Probable,Other saprotroph,dimargaris
Zoophthora,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,zoophthora
Syncephalis,Pathotroph,|Fungal Parasite|,Probable,NA,syncephalis
Allomyces,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,allomyces
Edhazardia,Pathotroph,|Animal Parasite|,Probable,NA,edhazardia
Olpidium,Pathotroph,|Algal Parasite|-Plant Pathogen,Probable,Pathogen,olpidium
Pythium, Pathotroph-Pathotroph-Saprotroph,|Plant Pathogen|-Undefined Saprotroph,Probable,Pathogen,pythium
Moelleriella,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,moelleriella
Emericellopsis,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,emericellopsis
Poronia,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,poronia
Rostrohypoxylon,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,rostrohypoxylon
Truncatella,Pathotroph,|Plant Pathogen|,Probable,Pathogen,truncatella
Pseudomassariella,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,pseudomassariella
Achaetomium,Saprotroph-Symbiotroph,Endophyte-|Undefined Saprotroph|,Probable,Endophyte,achaetomium
Canariomyces,Pathotroph-Saprotroph,Plant Pathogen-Plant Saprotroph-|Undefined Saprotroph|,Probable,Pathogen,canariomyces
Lasiosphaeris,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,lasiosphaeris
Gelasinospora,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,gelasinospora
Copromyces,Saprotroph,|Dung Saprotroph|-Undefined Saprotroph,Probable,Other saprotroph,copromyces
Echria,Saprotroph,|Dung Saprotroph|-Wood Saprotroph,Possible,Other saprotroph,echria
Glarea,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,glarea
Thermomyces,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Plant Saprotroph-|Undefined Saprotroph|,Possible,Pathogen,thermomyces
Emmonsia,Pathotroph-Saprotroph,Animal Parasite-|Undefined Saprotroph|,Probable,Other saprotroph,emmonsia
Histoplasma,Pathotroph-Saprotroph,|Animal Parasite|-Undefined Saprotroph,Probable,Other saprotroph,histoplasma
Polytolypa,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,polytolypa
Uncinocarpus,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,uncinocarpus
Ascosphaera,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,ascosphaera
Rhinocladiella,Pathotroph-Saprotroph-Symbiotroph,Animal Parasite-Endophyte-|Undefined Saprotroph|-Wood Saprotroph,Probable,Endophyte,rhinocladiella
Cyphellophora,Pathotroph-Saprotroph,Animal Parasite-Animal Pathogen-|Plant Saprotroph|-Undefined Saprotroph,Probable,Pathogen,cyphellophora
Decorospora,Pathotroph-Saprotroph,Plant Pathogen-Plant Saprotroph-|Wood Saprotroph|,Probable,Pathogen,decorospora
Curvularia,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,curvularia
