full_id,fa_type,soil_type,10Me17:0,10Me18:0,C14:0,C14:0_3-OH,C14:0i,C14:1w5,C15:0,C15:0a,C15:0i,C15:1w5,C16:0,C16:0_Me,C16:0i,C16:1w5,C16:1w6i,C16:1w7,C16:1w9,C17:0,C17:0_Me,C17:0a,C17:0cy,C17:0i,C17:1w8,C18:0,C18:0i,C18:1w5,C18:1w7,C18:1w9cis,C18:1w9trans,"C18:2w6,9","C18:3w6,9,12",C19:0cy(w9),C19:1w9,info
g_FN_b,GLFA,F,5.3656286062874,15.4878218841912,51.1656714601521,3.71589705193815,49.452848983671,0,8.61457679302471,0,51.5359633515048,0,232.397773057766,0,24.1015655605685,26.3925315822202,10.1531221966274,43.9008607771111,0,9.40520886944046,34.5986521694019,0,12.7370606411928,13.2586809627767,4.77450318149181,0,2.48141169035897,3.18434852125795,0,164.167982785656,111.164079699194,71.1017601793755,0,20.7460363891432,67.2125250112913,
g_FN_c,GLFA,F,11.3643895954936,12.4091476494407,48.3674851349063,2.53766518282058,47.2739288360208,2.55385734730623,7.15669239954159,0,34.5908927534227,0,200.045639076248,0,15.5870818531039,21.2041075368919,6.55960767599447,34.9053038061466,3.68375093081494,7.80509076079698,20.392506768244,0,17.5009589822283,9.91798556065917,0,0,0,3.53918358900259,0,134.74545051325,84.0469781122051,49.3754387913238,0,0,53.9412853091041,
g_FN_d,GLFA,F,4.29695600083952,15.3724795915307,54.8356668444234,3.64331303672725,48.031045703717,2.70074107904731,8.79854891840956,0,49.1623841394867,0,205.467595047157,0,22.9025218532417,25.1308294819935,9.2294437645142,41.8234253323448,9.91641977042019,9.71265138291859,30.649016065743,23.0148969132811,16.1147725217477,13.4014230598913,0,0,2.75055141016913,4.54366299167675,0,149.267746014614,109.383777795525,56.3494334521465,0,0,84.0522507290134,
p_GN_a,PLFA,G,4.81222537957984,21.0369274036979,5.33868877219413,0,4.13498442657537,0,3.76923191486641,44.7143877744863,50.1882646548517,0,120.194227331045,0,18.8285131992345,36.2553101145978,5.01140563836869,53.0872862168066,5.21816214057202,3.02395947409718,46.3320995724157,16.878526395214,19.089499363805,12.8978082434818,4.45727888809182,23.5700132077769,0,10.0985692396905,7.0396920649391,64.9188882334902,110.66273528928,17.4133645291265,0,0,65.3637574062343,
p_GN_b,PLFA,G,4.89805738973032,20.8706917770635,5.29493685955578,0,3.9636081089986,0,3.75516935904736,42.545673415811,48.1874565463115,0,123.008234920192,0,17.7816583695957,34.5856852231357,4.77754491212242,50.9143100943378,4.55905436293801,3.12500388620835,46.7187750420361,16.0821241309436,18.4344078705199,12.3162790999223,4.83473983230152,45.7892329303014,0,9.78124543094732,7.02545627192337,67.0253892445867,107.198434873075,17.2879596795513,0,0,64.0187367412549,
p_GN_c,PLFA,G,4.30497772710162,19.133170456613,4.90499915491652,0,3.84187062062906,0,3.239399707777,41.475670919398,45.5848785947704,0,120.016832140493,0,16.3216134030564,34.6985443115495,4.4225899146752,50.0122444455486,4.67202836520644,2.86813941777354,44.8048157732341,15.2436742248637,18.081637417672,11.9625466752912,4.40150727494481,58.0520357547344,0,9.89887266957169,6.21861160038189,63.0108846431895,109.993389096918,15.8929999425525,0,0,66.7273456639059,
p_GN_d,PLFA,G,3.25849484497732,15.0796676420221,4.01821659406108,0,3.0195552514191,0,2.66809087547424,35.1759143054364,38.0541025637232,0,93.815325948555,0,13.4821712584204,26.1330871976518,3.6007714883315,38.8200860736916,3.22984408691669,2.26389518891036,34.2565594533536,12.3886384934708,14.2274565553789,9.55281038005191,3.24381453978523,18.4194589051182,0,7.17209367151058,0,46.1669362797502,80.588328349675,10.5574936137872,0,0,48.0044343728503,
n_GN_a,NLFA,G,3.36300700091066,21.301382417844,12.2147330972341,0,7.10767649220321,7.02421175821234,7.0968104864667,22.3186661692069,34.6646936859031,0,455.647483619125,0,15.9368987739167,228.652440783391,4.41012274738734,200.753680345382,3.81593757072454,4.2798878787755,16.0798118784039,10.1538512007582,4.86580886486559,7.41220686227411,0,1272.56654484638,0,1.63366723030634,0,127.832829606053,47.7705309527041,36.0039968091047,20.9731431770718,0,7.54535716918597,
n_GN_b,NLFA,G,2.60480665026463,18.2361903622435,9.09553171829261,0,5.91087095824507,6.24430339331213,5.2136626205758,17.0248946520995,27.7117428733719,0,318.734348498012,0,11.8801907633058,192.036853647261,3.56865465510165,128.162031465764,3.07830080433991,3.36170064472795,12.2075138834716,4.93301675007025,4.00576891629395,6.20140456463447,0,1049.79571278275,0,1.45828685987176,0,89.7137906256466,35.8543808034868,27.8326486685085,19.9356052827193,0,6.64329178119811,
n_GN_c,NLFA,G,2.73089467693334,18.7022186892769,0,0,5.66001645451109,5.79411612240541,5.29203386420179,17.2265690012895,27.223532630431,0,321.808779439228,0,12.9197557139205,200.370812666839,3.2828877609415,129.96190322062,3.23827687732345,3.74427257412806,10.8024640864367,8.46486669578323,3.89767379297563,6.17336955974946,0,3052.99114380387,0,1.48164644648483,0,94.5497828321526,37.0048399499354,25.3078424030508,35.4413876749886,0,6.17679295604295,
n_GN_d,NLFA,G,2.69697675774385,18.0545287328996,10.4990219997586,0,5.82344576871838,5.21867746756017,6.06243367254643,18.3591741359144,27.369427534094,0,397.69465639672,0,13.8998474572448,264.148350420852,3.35939051371594,208.245764526345,2.63299634845064,3.76989037676114,11.589346791824,8.72973249118858,4.40862246273039,6.53040414392884,0,948.344026036868,0,1.68330628244855,0,147.287116157979,50.0904417739828,44.1098534281926,28.2724774956772,8.57110282448754,5.68563309967798,
g_GN_a,GLFA,G,2.30589407858238,0,0,0,4.2276865192808,0,4.00268724965293,0,16.9887356594627,0,113.406181982463,0,7.50072360397423,13.9836907574475,1.57972701541067,15.9704646142105,0.964209074396063,0,10.2418405048721,8.49700491256215,4.74957943789873,4.81518990703301,0,0,0,0,0,31.4292924302378,22.322350753915,7.11409971379151,0,0,11.0757104020788,
g_GN_b,GLFA,G,1.81905347809923,9.77196129719532,6.80835997534549,0,3.63910040350657,0,3.59536509685758,0,12.5721733606991,0,104.691595115693,0,5.86745356226776,12.9011994883702,1.31972831494494,12.7469246005637,0.684694744980037,2.1329826406563,7.63758106519899,0,4.27333818733717,3.49695496015792,0,0,0,0,0,27.5711004070108,17.8431180501441,8.26135183026029,0,0,9.17363220500382,
g_GN_c,GLFA,G,2.05058100253074,0,6.65472844773997,0,3.45764709838461,0,3.41637574646474,0,14.9164040310161,0,103.85198113889,0,6.41291310509544,12.8429770234027,1.3726243201871,12.6083285223445,0.704111986631937,1.90537329562946,8.39773480703803,6.48519632623612,3.56950902734659,3.92363112951778,0,4.34879950106359,0,0,0,25.3112605828791,17.6245473043375,7.11754353229381,1.31993462083673,6.41147455980532,9.31979737055427,
g_GN_d,GLFA,G,1.55541588916877,0,0,0,3.1836779627507,0,3.0767998564714,0,14.6491755502432,0,90.7246868477981,0,6.01674580666527,11.4616196323222,3.80835092611458,11.7337942600853,0.706284831773307,1.52957985863374,7.5990177405535,5.64180782399,4.55776040250618,5.05484556509182,0,0,0,0.632296255145822,0,24.3935018669765,17.8323988117269,5.65552365591685,0,0,9.59501501145714,
