sampleID,db_name,samp_name,taxonomic_rank,filter_status,taxon_group,reads_classified,seq_depth,pct_classified
BLAN_001-M-20170713-COMP,soil_microbe_db,BLAN_001-M-20170713-COMP_soil_microbe_db,phylum,before,fungi,48515,3484516,1.3923024029736124
BLAN_001-M-20170713-COMP,soil_microbe_db,BLAN_001-M-20170713-COMP_soil_microbe_db,class,before,all_domain,1184942,3484516,34.005927939490014
BLAN_001-M-20170713-COMP,soil_microbe_db,BLAN_001-M-20170713-COMP_soil_microbe_db,order,before,all_domain,1092711,3484516,31.359046708352032
BLAN_001-M-20170713-COMP,soil_microbe_db,BLAN_001-M-20170713-COMP_soil_microbe_db,family,before,all_domain,1001651,3484516,28.745771292196675
BLAN_001-M-20170713-COMP,soil_microbe_db,BLAN_001-M-20170713-COMP_soil_microbe_db,genus,before,all_domain,870269,3484516,24.97531938438509
BLAN_001-M-20170713-COMP,soil_microbe_db,BLAN_001-M-20170713-COMP_soil_microbe_db,species,before,all_domain,806137,3484516,23.134834220878883
BLAN_001-M-20170713-COMP,soil_microbe_db,BLAN_001-M-20170713-COMP_soil_microbe_db,strain,before,all_domain,74256,3484516,2.1310276663961365
BLAN_001-M-20200714-COMP,soil_microbe_db,BLAN_001-M-20200714-COMP_soil_microbe_db,phylum,before,all_domain,1395179,3300295,42.27437244246347
BLAN_001-M-20200714-COMP,soil_microbe_db,BLAN_001-M-20200714-COMP_soil_microbe_db,phylum,before,fungi,43758,3300295,1.325881474231849
BLAN_001-M-20200714-COMP,soil_microbe_db,BLAN_001-M-20200714-COMP_soil_microbe_db,class,before,all_domain,1317418,3300295,39.918189131577634
BLAN_001-M-20200714-COMP,soil_microbe_db,BLAN_001-M-20200714-COMP_soil_microbe_db,order,before,all_domain,1211585,3300295,36.71141519167226
BLAN_001-M-20200714-COMP,soil_microbe_db,BLAN_001-M-20200714-COMP_soil_microbe_db,family,before,all_domain,1109085,3300295,33.60563222378605
BLAN_001-M-20200714-COMP,soil_microbe_db,BLAN_001-M-20200714-COMP_soil_microbe_db,genus,before,all_domain,953848,3300295,28.901901193681173
BLAN_001-M-20200714-COMP,soil_microbe_db,BLAN_001-M-20200714-COMP_soil_microbe_db,species,before,all_domain,889786,3300295,26.960801988913115
BLAN_001-M-20200714-COMP,soil_microbe_db,BLAN_001-M-20200714-COMP_soil_microbe_db,strain,before,all_domain,79367,3300295,2.4048456274363352
BLAN_002-M-20170713-COMP,soil_microbe_db,BLAN_002-M-20170713-COMP_soil_microbe_db,phylum,before,all_domain,4904967,12708769,38.59513852207087
BLAN_002-M-20170713-COMP,soil_microbe_db,BLAN_002-M-20170713-COMP_soil_microbe_db,phylum,before,fungi,212580,12708769,1.6727033121775994
BLAN_002-M-20170713-COMP,soil_microbe_db,BLAN_002-M-20170713-COMP_soil_microbe_db,class,before,all_domain,4642959,12708769,36.53350690377644
BLAN_002-M-20170713-COMP,soil_microbe_db,BLAN_002-M-20170713-COMP_soil_microbe_db,order,before,all_domain,4270526,12708769,33.60298703989348
BLAN_002-M-20170713-COMP,soil_microbe_db,BLAN_002-M-20170713-COMP_soil_microbe_db,family,before,all_domain,3946759,12708769,31.055399622103447
BLAN_002-M-20170713-COMP,soil_microbe_db,BLAN_002-M-20170713-COMP_soil_microbe_db,genus,before,all_domain,3398738,12708769,26.743251057596527
BLAN_002-M-20170713-COMP,soil_microbe_db,BLAN_002-M-20170713-COMP_soil_microbe_db,species,before,all_domain,3154745,12708769,24.82337195679613
BLAN_002-M-20170713-COMP,soil_microbe_db,BLAN_002-M-20170713-COMP_soil_microbe_db,strain,before,all_domain,295691,12708769,2.3266690896655686
BLAN_003-M-20170713-COMP,soil_microbe_db,BLAN_003-M-20170713-COMP_soil_microbe_db,phylum,before,all_domain,4365672,10990729,39.72140519523318
BLAN_003-M-20170713-COMP,soil_microbe_db,BLAN_003-M-20170713-COMP_soil_microbe_db,phylum,before,fungi,160902,10990729,1.4639793229366314
BLAN_003-M-20170713-COMP,soil_microbe_db,BLAN_003-M-20170713-COMP_soil_microbe_db,class,before,all_domain,4143128,10990729,37.69657135573082
BLAN_003-M-20170713-COMP,soil_microbe_db,BLAN_003-M-20170713-COMP_soil_microbe_db,order,before,all_domain,3784677,10990729,34.43517713884129
BLAN_003-M-20170713-COMP,soil_microbe_db,BLAN_003-M-20170713-COMP_soil_microbe_db,family,before,all_domain,3481388,10990729,31.67567865607459
BLAN_003-M-20170713-COMP,soil_microbe_db,BLAN_003-M-20170713-COMP_soil_microbe_db,genus,before,all_domain,3016656,10990729,27.447278519923472
BLAN_003-M-20170713-COMP,soil_microbe_db,BLAN_003-M-20170713-COMP_soil_microbe_db,species,before,all_domain,2758217,10990729,25.095851239713035
BLAN_003-M-20170713-COMP,soil_microbe_db,BLAN_003-M-20170713-COMP_soil_microbe_db,strain,before,all_domain,260614,10990729,2.3712166863544724
BLAN_003-M-20200716-COMP,soil_microbe_db,BLAN_003-M-20200716-COMP_soil_microbe_db,phylum,before,all_domain,1475698,3520177,41.921130670417995
BLAN_003-M-20200716-COMP,soil_microbe_db,BLAN_003-M-20200716-COMP_soil_microbe_db,phylum,before,fungi,59659,3520177,1.6947727344392058
BLAN_003-M-20200716-COMP,soil_microbe_db,BLAN_003-M-20200716-COMP_soil_microbe_db,class,before,all_domain,1395428,3520177,39.640847605106224
BLAN_003-M-20200716-COMP,soil_microbe_db,BLAN_003-M-20200716-COMP_soil_microbe_db,order,before,all_domain,1287146,3520177,36.56480909908792
BLAN_003-M-20200716-COMP,soil_microbe_db,BLAN_003-M-20200716-COMP_soil_microbe_db,family,before,all_domain,1182604,3520177,33.59501525065359
BLAN_003-M-20200716-COMP,soil_microbe_db,BLAN_003-M-20200716-COMP_soil_microbe_db,genus,before,all_domain,1025306,3520177,29.12654676171113
BLAN_003-M-20200716-COMP,soil_microbe_db,BLAN_003-M-20200716-COMP_soil_microbe_db,species,before,all_domain,951026,3520177,27.01642559450846
BLAN_003-M-20200716-COMP,soil_microbe_db,BLAN_003-M-20200716-COMP_soil_microbe_db,strain,before,all_domain,88396,3520177,2.511123730426055
