ncbi_species_taxid	accession	ncbi_genbank_assembly_accession	ncbi_organism_name	kingdom	phylum	species	ncbi_taxonomy	source	is_published
2137880	GCA_905234915.1	GCA_905234915.1	Candidatus Gastranaerophilales bacterium	Bacteria	Candidatus Melainabacteria	Candidatus Gastranaerophilales bacterium	d__Bacteria;p__Candidatus Melainabacteria;c__;o__Candidatus Gastranaerophilales;f__;g__;s__	GTDB_207	Y
2137880	GCA_017402995.1	GCA_017402995.1	Candidatus Gastranaerophilales bacterium	Bacteria	Candidatus Melainabacteria	Candidatus Gastranaerophilales bacterium	d__Bacteria;p__Candidatus Melainabacteria;c__;o__Candidatus Gastranaerophilales;f__;g__;s__	GTDB_207	Y
2152761	GCA_900343025.1	GCA_900343025.1	Arsenophonus endosymbiont of Aleurodicus floccissimus	Bacteria	Pseudomonadota	Arsenophonus endosymbiont of Aleurodicus floccissimus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Arsenophonus;s__	GTDB_207	Y
2152829	GCA_011054805.1	GCA_011054805.1	Hydrogenobacter sp.	Bacteria	Aquificota	Hydrogenobacter sp.	d__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales;f__Aquificaceae;g__Hydrogenobacter;s__	GTDB_207	Y
2152889	GCA_009455685.1	GCA_009455685.1	Paraburkholderia hayleyella	Bacteria	Pseudomonadota	Paraburkholderia hayleyella	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia hayleyella	GTDB_207	Y
2152891	GCA_009455625.1	GCA_009455625.1	Paraburkholderia bonniea	Bacteria	Pseudomonadota	Paraburkholderia bonniea	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia bonniea	GTDB_207	Y
2161990	GCA_003213615.1	GCA_003213615.1	Pelagibacteraceae bacterium AG-422-D23	Bacteria	Pseudomonadota	Pelagibacteraceae bacterium AG-422-D23	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__	GTDB_207	Y
2162004	GCA_003212275.1	GCA_003212275.1	Pelagibacteraceae bacterium AG-447-N18	Bacteria	Pseudomonadota	Pelagibacteraceae bacterium AG-447-N18	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__	GTDB_207	Y
2162018	GCA_003209915.1	GCA_003209915.1	Pelagibacteraceae bacterium AG-430-E20	Bacteria	Pseudomonadota	Pelagibacteraceae bacterium AG-430-E20	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__	GTDB_207	Y
2162031	GCA_003282205.1	GCA_003282205.1	Pelagibacteraceae bacterium AG-337-G04	Bacteria	Pseudomonadota	Pelagibacteraceae bacterium AG-337-G04	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__	GTDB_207	Y
2162044	GCA_003279685.1	GCA_003279685.1	Pelagibacteraceae bacterium AG-390-L03	Bacteria	Pseudomonadota	Pelagibacteraceae bacterium AG-390-L03	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__	GTDB_207	Y
