samp_name,fungal_proportion,readdepth,db_name,n_reads,pass_filter,n_pass_filter,percent_classified_passing,metric,value,Database
fungprop_20_readdepth_5M_pluspf,20,5000000,pluspf,1871642,1,1467468,0.7840537880641704,percent_passing,0.5869872,PlusPF
fungprop_20_readdepth_5M_pluspf,20,5000000,pluspf,1871642,1,1467468,0.7840537880641704,percent_classified,0.7486568,PlusPF
fungprop_20_readdepth_5M_soil_microbe_db,20,5000000,soil_microbe_db,2463627,1,2409671,0.9780989573502807,percent_passing,0.9638684,SoilMicrobeDB
fungprop_20_readdepth_5M_soil_microbe_db,20,5000000,soil_microbe_db,2463627,1,2409671,0.9780989573502807,percent_classified,0.9854508,SoilMicrobeDB
fungprop_3_readdepth_.1M_gtdb_207,3,100000,gtdb_207,48524,1,47456,0.9779902728546699,percent_passing,0.94912,gtdb_207
fungprop_3_readdepth_.1M_gtdb_207,3,100000,gtdb_207,48524,1,47456,0.9779902728546699,percent_classified,0.97048,gtdb_207
fungprop_3_readdepth_.1M_gtdb_207_unfiltered,3,100000,gtdb_207_unfiltered,48525,1,45413,0.9358681092220504,percent_passing,0.90826,GTDB r207
fungprop_3_readdepth_.1M_gtdb_207_unfiltered,3,100000,gtdb_207_unfiltered,48525,1,45413,0.9358681092220504,percent_classified,0.9705,GTDB r207
fungprop_3_readdepth_.1M_pluspf,3,100000,pluspf,38618,1,29880,0.773732456367497,percent_passing,0.5976,PlusPF
fungprop_3_readdepth_.1M_pluspf,3,100000,pluspf,38618,1,29880,0.773732456367497,percent_classified,0.77236,PlusPF
fungprop_3_readdepth_.1M_soil_microbe_db,3,100000,soil_microbe_db,49853,1,48723,0.9773333600786311,percent_passing,0.97446,SoilMicrobeDB
fungprop_3_readdepth_.1M_soil_microbe_db,3,100000,soil_microbe_db,49853,1,48723,0.9773333600786311,percent_classified,0.99706,SoilMicrobeDB
fungprop_3_readdepth_1M_gtdb_207,3,1000000,gtdb_207,485253,1,474436,0.9777085355474361,percent_passing,0.948872,gtdb_207
fungprop_3_readdepth_1M_gtdb_207,3,1000000,gtdb_207,485253,1,474436,0.9777085355474361,percent_classified,0.970506,gtdb_207
fungprop_3_readdepth_1M_gtdb_207_unfiltered,3,1000000,gtdb_207_unfiltered,485293,1,453684,0.9348661530250797,percent_passing,0.907368,GTDB r207
fungprop_3_readdepth_1M_gtdb_207_unfiltered,3,1000000,gtdb_207_unfiltered,485293,1,453684,0.9348661530250797,percent_classified,0.970586,GTDB r207
fungprop_3_readdepth_1M_pluspf,3,1000000,pluspf,386699,1,299440,0.774349041502564,percent_passing,0.59888,PlusPF
fungprop_3_readdepth_1M_pluspf,3,1000000,pluspf,386699,1,299440,0.774349041502564,percent_classified,0.773398,PlusPF
fungprop_3_readdepth_1M_soil_microbe_db,3,1000000,soil_microbe_db,498580,1,486949,0.9766717477636487,percent_passing,0.973898,SoilMicrobeDB
fungprop_3_readdepth_1M_soil_microbe_db,3,1000000,soil_microbe_db,498580,1,486949,0.9766717477636487,percent_classified,0.99716,SoilMicrobeDB
fungprop_3_readdepth_5M_gtdb_207,3,5000000,gtdb_207,2426226,1,2372253,0.977754339455599,percent_passing,0.9489012,gtdb_207
fungprop_3_readdepth_5M_gtdb_207,3,5000000,gtdb_207,2426226,1,2372253,0.977754339455599,percent_classified,0.9704904,gtdb_207
